Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
104.7978,111.4493,83.57208,6726,-1244,0.05,24.37,42.94633,317.59 yds,59.50726,-6.774614,-10.48,104.9014,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
114.3624,120.2903,89.7684,7676,-1364,-1.18,24.43,45.6517,309.16 yds,71.17001,-10.56729,-10.08,114.3705,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
123.7654,131.0205,93.99622,6637,0,0.06,21.63,43.9054,297.68 yds,68.80569,0.1296144,0,123.7727,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
124.4767,130.3351,96.21078,7922,0,0.45,25.7,49.86405,298.37 yds,88.8307,0.9779963,0,124.5236,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
143.3633,151.5951,103.7269,5400,-340,2.61,24.83,49.13064,277.13 yds,98.72595,2.460245,-3.61,143.3565,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
139.8168,147.3854,102.8545,6108,-374,1.35,24.22,48.81265,281.31 yds,95.04493,-0.6191298,-3.5,139.9526,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
119.46,130.7051,89.25391,3717,-846,0.26,22.23,38.51395,298.51 yds,58.36392,-8.200142,-12.83,119.5154,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
150.0399,159.5031,105.6507,4634,-626,3.25,23.09,47.53424,269.2 yds,93.79569,-0.3125553,-7.69,150.0451,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
139.925,149.0813,100.5728,4958,-378,2.82,22.34,45.18593,279.64 yds,81.59509,2.431447,-4.36,139.9603,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
152.354,162.2031,106.3218,4525,-162,2.21,21.95,45.89452,266.56 yds,90.39055,3.497379,-2.05,152.472,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
158.2834,165.9585,108.0442,3751,715,6.59,22.14,45.72431,267.96 yds,91.81986,30.59559,10.79,158.2863,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
113.5663,139.9718,104.4651,2786,1822,5.65,8.59,15.98837,296.13 yds,19.59592,27.35544,33.18,113.5617,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
138.4533,147.9469,101.2439,4401,698,7.28,15.93,35.57019,284.8 yds,54.59542,25.69912,9.01,138.4699,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
163.1438,173.3404,112.4733,4567,623,3.78,19.7,44.94627,257.83 yds,91.18131,20.81781,7.77,163.1226,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
154.9006,164.7429,108.3574,4833,156,1.51,19.97,45.14439,264.18 yds,85.87318,6.318698,1.85,154.9679,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
118.7855,144.8967,95.74103,2710,-1491,0.14,14.75,26.10309,286.55 yds,35.0099,-16.11045,-28.82,118.9321,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
140.4305,166.3081,110.3259,2177,-1484,-5.32,12.09,22.72507,273.18 yds,34.70724,-36.22964,-34.28,140.6089,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
